Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
210621Ran,2019/2/1,2021/6/21,2.384124088,F,captive,25.935,21.365,11.89,18.39,14.57,21.5,22.75,18.15,3.4,6.78,8.72,6.003333333,7.906666667
201101 Daichi,2017/2/1,2020/11/1,3.748117728,M,captive,28.465,22.785,14.42,19.11,16.68,21.16,19.335,18.59,6.28,6.455,13.56,6.846666667,8.076666667
200603 Kai,2016/2/1,2020/6/3,4.334975369,M,captive,25.69,25.105,15.3,20.7,16.005,24.57,22.475,14.59,6.04,7.5,15.96,7.26,8.793333333
200625 Tokuto,2010/2/1,2020/6/25,10.39497262,M,captive,42.035,38.33,29.885,30.64,27.805,27.48,30.12,31.145,8.985,9.715,19.715,9.116666667,11.1
200625 Rocky,2010/2/1,2020/6/25,10.39497262,M,captive,42.815,35.76,29.22,34.865,30.785,34.23,33.575,30.48,8.46,12.79,18.76,8.486666667,12.10666667
210304 Sumiri,2006/2/1,2021/3/4,15.08555784,F,captive,52.27,45.94,29.95,42.85,32.28,31.025,36.235,37.815,9.01,12.995,27.06,9.773333333,13.37666667
210504 Masako,1992/2/1,2021/5/4,29.25260084,F,captive,67.105,68.065,48.685,64.685,35.27,42.4,45.895,39.83,14.1,19.455,37.16,16.23666667,22.00666667
210413 Junko,1989/2/1,2021/4/13,32.19505517,F,captive,83.625,85.175,63.76,80.095,33.73,50.16,59.025,52.475,18.735,21.345,35.395,41.17,28.45666667
201112 Makenko,1987/2/1,2020/11/12,33.77824301,F,captive,72.255,72.51,62.22,67.07,61.54,44.135,45.585,48.705,16.975,29.255,44.695,17.78333333,24.28333333
200719 Shouhei,2018/2/1,2020/7/19,2.460766423,M,captive,23.555,18.01,9.8,16.32,23.535,22.42,22.66,23.02,5.99,8.905,14.79,5.435,6.33
200603 Kutta,2016/2/1,2020/6/3,4.334975369,M,captive,32.05,24.55,16.25,25.845,23.73,22.82,23.99,24.76,6.865,8.035,15.655,6.21,9.16
210926 Kotetsu,2017/2/1,2021/9/26,4.649507119,M,captive,35.045,24.43,20.255,23.3,23.095,21.96,22.425,26.105,9.885,11.715,17.455,6.8,9.705
200604 Ana,2015/2/1,2020/6/4,5.337591241,F,captive,31.9,28.11,21.23,24.85,25.9,23.33,28.74,27.905,9.155,8.75,19.145,8.625,9.895
201108 Fuku,2015/2/1,2020/11/8,5.767335766,M,captive,32.48,27.03,20.975,24.81,27.765,27.125,28.735,27.085,9.16,8.335,18.74,7.855,8.825
200719 Yuzuru,2014/2/1,2020/7/19,6.460696128,M,captive,38,32.23,23.57,28.04,21.75,26.405,27.715,24.225,9.43,13.595,19.79,5.91,8.35
210427 Lucky,2015/2/1,2021/4/27,6.233476731,F,captive,34.2,28.88,21.645,20.11,26.75,26.405,30.34,27.83,7.63,10.47,20.37,8.01,12.105
210519 Honoka,2015/2/1,2021/5/19,6.293703559,F,captive,36.375,27.605,20.27,26.115,25.185,28.145,26.975,29.54,6.895,11.98,20.6,6.775,9.85
210622 Sasuke,2015/2/1,2021/6/22,6.386781384,M,captive,36.63,33.02,19.485,22.93,24.73,25.645,29.055,29.06,3.045,10.795,21.135,8.215,11.01
