Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
210621Ran,2019/2/1,2021/6/21,-1.214335091,F,captive,-1.483238128,-1.280161737,-1.492002789,-1.206796418,-1.592889144,-1.377895729,-1.316000801,-1.659515463,-1.632688699,-1.3271022,-1.904871646,-1.04522267,-1.339909486
201101 Daichi,2017/2/1,2020/11/1,-1.064976636,M,captive,-1.291903231,-1.188820221,-1.290576105,-1.159740377,-1.372623728,-1.422048168,-1.693128414,-1.607849803,-0.926089867,-1.387355019,-1.252800854,-0.883767425,-1.308581551
200603 Kai,2016/2/1,2020/6/3,-1.000715229,M,captive,-1.501766606,-1.039586195,-1.220514649,-1.055824952,-1.443087783,-0.979225178,-1.346369789,-2.077537625,-0.984973103,-1.193619033,-0.929459966,-0.80463521,-1.176512805
200625 Tokuto,2010/2/1,2020/6/25,-0.337140411,M,captive,-0.265652419,-0.188887921,-0.05932564,-0.406190161,-0.211271713,-0.601332244,-0.502111926,-0.133617153,-0.262426729,-0.7829729,-0.423566201,-0.449178407,-0.751435725
200625 Rocky,2010/2/1,2020/6/25,-0.337140411,M,captive,-0.206663795,-0.3542032,-0.112269808,-0.130062697,0.09981404,0.275223529,-0.120567006,-0.211702753,-0.391233808,-0.212888539,-0.552228929,-0.569791218,-0.565925208
210304 Sumiri,2006/2/1,2021/3/4,0.176482631,F,captive,0.50838421,0.300625414,-0.054150646,0.391801871,0.255878873,-0.140978138,0.173183932,0.64958729,-0.256293059,-0.174882915,0.565991644,-0.323460291,-0.331887105
210504 Masako,1992/2/1,2021/5/4,1.727785805,F,captive,1.630302469,1.723816288,1.437441818,1.818841677,0.568008538,1.336180665,1.239963652,0.88619253,0.992522236,1.022757726,1.926717883,0.913937809,1.258466305
210413 Junko,1989/2/1,2021/4/13,2.049987039,F,captive,2.879651283,2.82441723,2.63764232,2.82597167,0.407246102,2.343895154,2.689944782,2.370993156,2.12970473,1.373151041,1.688927605,5.687397218,2.447085018
201112 Makenko,1987/2/1,2020/11/12,2.223347445,F,captive,2.019778643,2.009740963,2.515034773,1.974714813,3.310365161,1.561487964,1.20572952,1.928312384,1.697894333,2.83961195,2.941873548,1.210045452,1.678014925
200719 Shouhei,2018/2/1,2020/7/19,-1.205942691,M,captive,-1.663229059,-1.49597215,-1.658398746,-1.342082536,-0.657022105,-1.258424424,-1.325939743,-1.087670541,-0.997240444,-0.933141463,-1.087088649,-1.154029465,-1.630460727
