Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
210621Ran,2019/2/1,2021/6/21,-1.005259354,F,captive,-1.235826718,-1.064562095,-1.253229079,-1.009012299,-1.407537111,-1.141995152,-1.083219673,-1.468718398,-1.499959946,-1.149647884,-1.715216374,-0.854999006,-1.112984405
201101 Daichi,2017/2/1,2020/11/1,-0.870383982,M,captive,-1.063347601,-0.982965877,-1.073402688,-0.966922398,-1.206151511,-1.182158627,-1.424444933,-1.418732102,-0.85611298,-1.204847759,-1.134051252,-0.709382539,-1.084542646
200603 Kai,2016/2/1,2020/6/3,-0.812353915,M,captive,-1.252529241,-0.849653747,-1.010854378,-0.873973869,-1.270575814,-0.779342592,-1.110697549,-1.873152974,-0.909766894,-1.02735893,-0.8458702,-0.638013203,-0.964641114
200625 Tokuto,2010/2/1,2020/6/25,-0.213125036,M,captive,-0.138232336,-0.089717141,0.025812782,-0.292899415,-0.144343552,-0.435590492,-0.346812598,0.007581409,-0.251388661,-0.651150551,-0.394986929,-0.31742675,-0.578725486
200625 Rocky,2010/2/1,2020/6/25,-0.213125036,M,captive,-0.085056956,-0.237394802,-0.021453838,-0.045913543,0.140077816,0.361772627,-0.001590556,-0.067966061,-0.368756597,-0.12887481,-0.509658973,-0.426207431,-0.41030566
210304 Sumiri,2006/2/1,2021/3/4,0.250692686,F,captive,0.559524093,0.347569632,0.030432828,0.42087514,0.282765717,-0.016827194,0.264195444,0.765328213,-0.245799711,-0.094056428,0.486967166,-0.204041595,-0.197828992
210504 Masako,1992/2/1,2021/5/4,1.651568122,F,captive,1.570878916,1.618919153,1.362072132,1.697309818,0.568141519,1.326877322,1.229418287,0.994242728,0.892110377,1.003147242,1.699729093,0.911967617,1.246008525
210413 Junko,1989/2/1,2021/4/13,1.942525946,F,captive,2.697106195,2.602096116,2.433567329,2.598150597,0.421158664,2.243549589,2.541361964,2.430780709,1.928301586,1.324155746,1.487795944,5.217150138,2.325122312
201112 Makenko,1987/2/1,2020/11/12,2.099075831,F,captive,1.921972771,1.8743383,2.324107786,1.836732613,3.075439954,1.531829175,1.198443226,2.002489037,1.534839552,2.667635782,2.604497521,1.179027067,1.626905019
200719 Shouhei,2018/2/1,2020/7/19,-0.997680753,M,captive,-1.3980798,-1.257347525,-1.401781315,-1.130020761,-0.551886922,-1.033317512,-1.092212433,-0.915460987,-0.920944793,-0.788725624,-0.986358463,-0.953131843,-1.376767775
200603 Kutta,2016/2/1,2020/6/3,-0.812353915,M,captive,-0.818945373,-0.881545226,-0.943330634,-0.573206458,-0.533275456,-0.986066364,-0.959319433,-0.717787907,-0.725331566,-0.936491444,-0.882493209,-0.819314338,-0.903296144
210926 Kotetsu,2017/2/1,2021/9/26,-0.781252167,M,captive,-0.614765549,-0.888440681,-0.658664746,-0.721982563,-0.593882023,-1.087656332,-1.115693527,-0.564988889,-0.050186484,-0.311459012,-0.66635742,-0.717440367,-0.812115212
